ArquivoNome;MD5; SHA256;FornecedorId;Fornecedor Nome; Data; Quantidade Movel; Minutos Movel; Quantidade Fixo; Minutos Fixo;  Quantidade Total; Minutos Total;Tempo Processamento; Operadora
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-04;5;2,8;0;0,0;5;2,8;50ms;
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-09;192;161,4;0;0,0;192;161,4;50ms;
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-05;14;11,0;0;0,0;14;11,0;50ms;
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-14;86;45,3;0;0,0;86;45,3;50ms;
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-22;17;18,4;0;0,0;17;18,4;50ms;
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-15;51;34,5;0;0,0;51;34,5;50ms;
ipcorp.txt;22ece25448fc7c52a9a4a08a233f378b;a670d3feee032a56130547fd9e785a45bd20463007a8b3a6be78d29533720c05;2;IPCORP;2020-06-07;134;78,0;0;0,0;134;78,0;50ms;
