ArquivoNome;MD5; SHA256;FornecedorId;Fornecedor Nome; Data; Quantidade Movel; Minutos Movel; Quantidade Fixo; Minutos Fixo;  Quantidade Total; Minutos Total;Tempo Processamento; Operadora
claro.txt;383e5c90300359e80d6e77da67c0cdfc;6b607f09f5b6e69f1b6d5f3224f8127264d03472316b9ff411bc94a9bf218e11;3;Claro;2020-03-06;0;0,0;1;1,0;1;1,0;108ms;
claro.txt;383e5c90300359e80d6e77da67c0cdfc;6b607f09f5b6e69f1b6d5f3224f8127264d03472316b9ff411bc94a9bf218e11;3;Claro;2020-03-09;0;0,0;30;45,0;30;45,0;108ms;
claro.txt;383e5c90300359e80d6e77da67c0cdfc;6b607f09f5b6e69f1b6d5f3224f8127264d03472316b9ff411bc94a9bf218e11;3;Claro;2020-03-10;1;0,5;58;95,7;59;96,2;108ms;
claro.txt;383e5c90300359e80d6e77da67c0cdfc;6b607f09f5b6e69f1b6d5f3224f8127264d03472316b9ff411bc94a9bf218e11;3;Claro;2020-03-27;0;0,0;8;5,8;8;5,8;108ms;
claro.txt;383e5c90300359e80d6e77da67c0cdfc;6b607f09f5b6e69f1b6d5f3224f8127264d03472316b9ff411bc94a9bf218e11;3;Claro;2020-03-28;0;0,0;399;313,5;399;313,5;108ms;
